№ БИСки;;Обозначение стояка;;;№ Квартир по стояку;;;;
1,2;;Стояк 1.1;;;Кв. 3,7,11,15,19,23;;; 1 Подъезд;
3,4;;Стояк 1.2;;;Кв. 3,7,11,15,19,23;;;;
5,6;;Стояк 1.4;;;Кв. 5,9,13,17,21;;;;
7,8;;Стояк 1.3;;;Кв. 2,6,10,14,18,22;;;;
9,10;;Стояк 1.5;;;Кв. 1,4,8,12,16,20;;;;
11,12;;Стояк 1.6;;;Кв. 1,4,8,12,16,20;;;;
13,14;;Стояк 2.1;;;Кв. 26,30,34,38,42,46;;;2 Подъезд;
15,16;;Стояк 2.2;;;Кв. 26,30,34,38,42,46;;;;
17,18;;Стояк 2.4;;;Кв. 28,32,36,40,44;;;;
19,20;;Стояк 2.3;;;Кв. 25,29,33,37,41,45;;;;
21,22;;Стояк 2.5;;;Кв. 24,27,31,35,39,43;;;;
23,24;;Стояк 2.6;;;Кв. 24,27,31,35,39,43;;;;
25,26;;Стояк 3.0;;;Кв. 47,50,53,56,59,62;;;3 Подъезд;
27,28;;Стояк 3.1;;;Кв. 49,52,55,58,61,64;;;;
29,30;;Стояк 3.2;;;Кв. 52,55,58,61,64;;;;
31,32;;Стояк 3.3;;;Кв. 48,51,54,57,60,63;;;;
33,34;;Стояк 3.4;;;Кв. 47,50,53,56,59,62;;;;
35,36;;Стояк 3.5;;;Кв. 48,51,54,57,60,63;;;;
37,38;;Стояк 4.0;;;Кв. 69,75,81,87,93,99;;;4 Подъезд;
39,40;;Стояк 4.1;;;Кв. 69,75,81,87,93,99;;;;
93,94;;Стояк 4.2;;;Кв. 74,80,86,92,98;;;;
41,42;;Стояк 4.3;;;Кв. 68,73,79,85,91,97;;;;
43,44;;Стояк 4.4;;;Кв. 65,70,76,82,88,94;;;;
45,46;;Стояк 4.5;;;Кв. 65,70,76,82,88,94;;;;
47,48;;Стояк 4.6;;;Кв. 67,72,78,84,90,96;;;;
49,50;;Стояк 4.7;;;Кв. 66,71,77,83,89,95;;;;
51,52;;Стояк 4.8;;;Кв. 67,72,78,84,90,96;;;;
53,54;;Стояк 4.9;;;Кв. 66,71,77,83,89,95;;;;
55,56;;Стояк 5.1;;;Кв. 105,109,113,117,121;;;5 Подъезд;
57,58;;Стояк 5.2;;;Кв. 101,104,108,112,116,120;;;;
59,60;;Стояк 5.3;;;Кв. 105,109,113,117,121;;;;
61,62;;Стояк 5.4;;;Кв. 100,103,107,111,115,119;;;;
63,64;;Стояк 5.5;;;Кв. 100,103,107,111,115,119;;;;
65,66;;Стояк 5.6;;;Кв. 102,106,110,114,118,122;;;;
67,68;;Стояк 5.7;;;Кв. 102,106,110,114,118,122;;;;
69,70;;Стояк 6.1;;;Кв. 123,126,130,134,138,142;;;6 Подъезд;
71,72;;Стояк 6.2;;;Кв. 123,126,130,134,138,142;;;;
73,74;;Стояк 6.3;;;Кв. 125,129,133,137,141,145;;;;
75,76;;Стояк 6.4;;;Кв. 124,128,132,136,140,144;;;;
77,78;;Стояк 6.5;;;Кв. 127,131,135,139,143;;;;
79,80;;Стояк 6.6;;;Кв. 125,129,133,137,141,145;;;;
81,82;;Стояк 7.1;;;Кв. 146,149,153,157,161,165;;;7 Подъезд;
83,84;;Стояк 7.2;;;Кв. 146,149,153,157,161,165;;;;
85,86;;Стояк 7.3;;;Кв. 150,154,158,162,166;;;;
87,88;;Стояк 7.4;;;Кв. 147, 151,155, 159,163,167;;;;
89,90;;Стояк 7.5;;;Кв. 148,152,156,160,164,168;;;;
91,92;;Стояк 7.6;;;Кв. 148,152,156,160,164,168;;;;

